DEPARTAMENTO,MUNICIPIO,CULTIVO,PERIODO,SEMESTRE,Area Sembrada (ha),Area Cosechada (ha),Produccion (t),Rendimiento (t/ha)
META,EL CASTILLO,CAUCHO,2015,A,51,15,18,1.2
META,EL CASTILLO,CITRICOS ,2015,A,100,80,1200,15
META,EL CASTILLO,GUAYABA,2015,A,9,0,0,0
META,EL CASTILLO,MAIZ TECNIFICADO,2015,A,150,150,750,5
META,EL CASTILLO,MAIZ TECNIFICADO,2015,B,110,110,528,4.8
META,EL CASTILLO,MAIZ TRADICIONAL ,2015,A,50,50,90,1.8
META ,EL CASTILLO,MAIZ TRADICIONAL ,2015,B,40,40,72,1.8
META,EL CASTILLO,MARACUYA,2015,A,60,57,1140,20
META,EL CASTILLO,PAPAYA ,2015,A,18,18,540,30
META ,EL CASTILLO,PLATANO,2015,A,680,680,10200,15
META,EL CASTILLO,YUCA,2015,A,380,370,5550,15
META ,GUAMAL,AGUACATE,2015,A,14,9,72,8
META,GUAMAL,BANANO,2015,A,27,27,162,6
META,GUAMAL,CACAO ,2015,A,370,370,370,1
META,GUAMAL,CAÑA PANELERA,2015,A,15,15,37.5,2.5
META,GUAMAL,CITRICOS ,2015,A,328,318,4770,15
META,GUAMAL,GUAYABA,2015,A,22,20,180,9
META,GUAMAL,HABICHUELA,2015,A,4,4,14,3.5
META,GUAMAL,HABICHUELA,2015,B,4,4,16,4
META,GUAMAL,MAIZ FORRAJERO,2015,A,136,136,3400,25
META,GUAMAL,MAIZ FORRAJERO,2015,B,100,100,2400,24
META,GUAMAL,MAIZ TRADICIONAL ,2015,A,2,2,3,1.5
META,GUAMAL,MAIZ TRADICIONAL ,2015,B,50,50,75,1.5
META,GUAMAL,MANGOSTINO,2015,A,10,10,80,8
META,GUAMAL,MARACUYA,2015,A,12,12,216,18
META,GUAMAL,PALMA DE ACEITE,2015,A,1852,800,14400,18
META,GUAMAL,PAPAYA ,2015,A,14,10,400,40
META,GUAMAL,PEPINO COHOMBRE,2015,A,3,3,24,8
META,GUAMAL,PEPINO COHOMBRE,2015,B,3,3,24,8
META,GUAMAL,PIÑA,2015,A,11,11,440,40
META,GUAMAL,PLATANO,2015,A,70,65,715,11
META,GUAMAL,YUCA,2015,A,35,35,525,15
META,GUAMAL,ZAPOTE,2015,A,10,10,200,20
META,SAN MARTIN ,ARROZ  SECANO,2015,A,360,360,1800,5
META,SAN MARTIN ,ARROZ RIEGO,2015,A,75,75,375,5
META,SAN MARTIN ,ARROZ RIEGO,2015,B,248,248,1116,4.5
META,SAN MARTIN ,CACAO ,2015,A,80,70,70,1
META,SAN MARTIN ,CAÑA PANELERA,2015,A,11,10,25,2.5
META,SAN MARTIN ,CAUCHO,2015,A,260,220,440,2
META,SAN MARTIN ,CITRICOS ,2015,A,136,116,1740,15
META ,SAN MARTIN ,MAIZ FORRAJERO,2015,A,300,300,1200,4
META,SAN MARTIN ,MAIZ FORRAJERO,2015,B,300,300,1050,3.5
META,SAN MARTIN ,MRACUYA,2015,A,15,10,250,25
META,SAN MARTIN ,PALMA DE ACEITE,2015,A,19220,15100,302000,20
META,SAN MARTIN ,PAPAYA ,2015,A,13,10,300,30
META,SAN MARTIN ,PATILLA,2015,A,1200,1000,35000,35
META,SAN MARTIN ,PATILLA,2015,B,700,700,24500,35
META,SAN MARTIN ,PIÑA,2015,A,350,150,5250,35
META,SAN MARTIN ,PLATANO,2015,A,164,164,2460,15
META,SAN MARTIN ,AUYAMA,2015,A,7,7,91,13
META,SAN MARTIN ,AUYAMA,2015,B,8,8,104,13
META,SAN MARTIN ,YUCA,2015,A,200,200,3000,15
META,CUBARAL,CACAO ,2015,A,155,155,77.5,0.5
META,CUBARAL,AGUACATE,2015,A,17,10,130,13
META,CUBARAL,CAFÃ‰,2015,A,445,395,592.5,1.5
META,CUBARAL,CITRICOS ,2015,A,32,20,400,20
META,CUBARAL,MAIZ FORRAJERO,2015,A,5,5,20,4
META,CUBARAL,MAIZ FORRAJERO,2015,B,5,5,17.5,3.5
META,CUBARAL,MAIZ TRADICIONAL ,2015,A,80,80,160,2
META,CUBARAL,MAIZ TRADICIONAL ,2015,B,50,50,100,2
META,CUBARAL,PAPAYA ,2015,A,7,4,176,44
META,CUBARAL,PLATANO,2015,A,30,30,480,16
META,CUBARAL,YUCA,2015,A,30,30,330,11
META,EL CASTILLO,MAIZ BLANCO,2015,A,30,30,144,4.8
META,EL CASTILLO,MAIZ BLANCO,2015,B,30,30,144,4.8
