DEPARTAMENTO,MUNICIPIO,CULTIVO,PERIODO,SEMESTRE,Area Sembrada (ha),Area Cosechada (ha),Produccion (t),Rendimiento (t/ha)
META,GRANADA,PIÑA,2015,A,352,352,12320,35
META,GRANADA,PLATANO,2015,A,1980,1900,34200,18
META,SAN MARTIN ,MAIZ TECNIFICADO,2015,A,46,46,230,5
META,SAN MARTIN ,MAIZ TECNIFICADO,2015,B,30,30,150,5
META,MAPIRIPAN,CACAO,2015,A,120,80,80,1
META,MAPIRIPAN,CAÑA PANELERA ,2015,A,70,70,154,2.2
META,MAPIRIPAN,CAUCHO,2015,A,660,367,844.1,2.3
META,MAPIRIPAN,MAIZ TECNIFICADO ,2015,A,360,360,2160,6
META,MAPIRIPAN,MAIZ TECNIFICADO ,2015,B,70,70,385,5.5
META,MAPIRIPAN,MAIZ TRADICIONAL ,2015,A,380,380,646,1.7
META,MAPIRIPAN,MAIZ TRADICIONAL ,2015,B,350,350,525,1.5
META,MAPIRIPAN,PALMA DE ACEITE,2015,A,6500,4000,120000,30
META,MAPIRIPAN,PLATANO,2015,A,400,380,5700,15
META,MAPIRIPAN,YUCA,2015,A,330,330,4620,14
META,LA MACARENA,CAUCHO,2015,A,264,50,75,1.5
META,LA MACARENA,PLATANO,2015,A,370,370,6660,18
META,LA MACARENA,MAIZ FORRAJERO,2015,A,100,100,2000,20
META,LA MACARENA,MAIZ TRADICIONAL ,2015,A,400,400,720,1.8
META,LA MACARENA,MAIZ FORRAJERO ,2015,B,150,150,3000,20
META,LA MACARENA,MAIZ TRADICIONAL ,2015,B,550,550,990,1.8
META,LA MACARENA,YUCA,2015,A,380,380,7600,20
META,LA MACARENA,ARROZ SECANO MANUAL,2015,A,20,20,40,2
META,LA MACARENA,CACAO,2015,A,60,52,52,1
META,LA MACARENA,CAÑAPANELERA,2015,A,180,180,450,2.5
META,SAN CALOS DE GUAROA,ARROZ RIEGO,2015,A,300,300,1500,5
META,SAN CALOS DE GUAROA,ARROZ RIEGO,2015,B,2200,2200,11000,5
META,SAN CALOS DE GUAROA,ARROZ SECANO MECANIZADO,2015,A,420,420,2100,5
META,SAN CALOS DE GUAROA,CACAO,2015,A,15,15,15,1
META,SAN CALOS DE GUAROA,CAÑA PANELERA,2015,A,20,12,240,20
META,SAN CALOS DE GUAROA,CAUCHO,2015,A,140,40,80,2
META,SAN CALOS DE GUAROA,CITRICOS,2015,A,178,175,3850,22
META,SAN CALOS DE GUAROA,PALMA DE ACEITE,2015,A,45000,32000,960000,30
META,SAN CALOS DE GUAROA,PAPAYA,2015,A,53,13,416,32
META,SAN CALOS DE GUAROA,PLATANO,2015,A,140,135,1890,14
META,SAN CALOS DE GUAROA,YUCA,2015,A,60,60,1200,20
META,SAN CALOS DE GUAROA,PIÑA,2015,A,21,0,0,0
META,SAN CALOS DE GUAROA,MARACUYA,2015,A,3,0,0,0
META,SAN CALOS DE GUAROA,MAIZ AMARILLO MANUAL,2015,A,5,5,9,1.8
META,SAN CALOS DE GUAROA,MAIZ AMARILLO TECNIFICADO,2015,B,90,0,0,0
META,SAN CALOS DE GUAROA,MAIZ AMARILLO MANUAL,2015,B,5,5,9,1.8
META,SAN CALOS DE GUAROA,PATILLA,2015,A,40,40,1200,30
META,SAN CALOS DE GUAROA,PATILLA,2015,B,20,20,600,30
META,SAN CALOS DE GUAROA,AUYAMA,2015,B,10,0,0,0
